image_directory,part0_x,part0_y,part1_x,part1_y,part2_x,part2_y,part3_x,part3_y,part4_x,part4_y,part5_x,part5_y,part6_x,part6_y,part7_x,part7_y,part8_x,part8_y,part9_x,part9_y,part10_x,part10_y,part11_x,part11_y,part12_x,part12_y,part13_x,part13_y,part14_x,part14_y,part15_x,part15_y,part16_x,part16_y,part17_x,part17_y,part18_x,part18_y,part19_x,part19_y,part20_x,part20_y,part21_x,part21_y,part22_x,part22_y
ABCSJZQJ/ABCSJZQJ_f000023.jpg,351.7407963937,73.9684447785,-1.0,-1.0,364.0052592036,78.2486851989,407.7933884298,54.7355371901,-1.0,-1.0,372.0052592036,83.5078888052,416.7986476334,88.5078888053,340.9947407964,144.2066115701,-1.0,-1.0,354.0420736289,179.6882043575,-1.0,-1.0,275.4763335838,278.2854996245,-1.0,-1.0,294.1540195342,188.7145003758,329.8353937572,247.5189846694,320.8817082789,243.5326697756,325.3275049518,256.5099254275,317.0940882078,252.1013840335,-1.0,-1.0,328.7922459343,281.9304443933,308.10314745,243.0421419303,305.6815542904,254.2870270908,301.3351050289,282.8742448045
ABCSJZQJ/ABCSJZQJ_f000024.jpg,351.7407963937,73.9684447785,-1.0,-1.0,364.0052592036,78.2486851989,407.7933884298,54.7355371901,-1.0,-1.0,372.0052592036,83.5078888052,416.7986476334,88.5078888053,340.9947407964,144.2066115701,-1.0,-1.0,354.0420736289,179.6882043575,-1.0,-1.0,275.4763335838,278.2854996245,-1.0,-1.0,294.1540195342,188.7145003758,329.8353937572,247.5189846694,320.8817082789,243.5326697756,325.3275049518,256.5099254275,317.0940882078,252.1013840335,-1.0,-1.0,328.7922459343,281.9304443933,308.10314745,243.0421419303,305.6815542904,254.2870270908,301.3351050289,282.8742448045
ABCSJZQJ/ABCSJZQJ_f000025.jpg,357.7407963937,79.9684447785,-1.0,-1.0,364.0052592036,78.2486851989,407.7933884298,54.7355371901,-1.0,-1.0,372.0052592036,83.5078888052,416.7986476334,88.5078888053,340.9947407964,144.2066115701,-1.0,-1.0,354.0420736289,179.6882043575,-1.0,-1.0,275.4763335838,278.2854996245,-1.0,-1.0,294.1540195342,188.7145003758,329.8353937572,247.5189846694,320.8817082789,243.5326697756,325.3275049518,256.5099254275,317.0940882078,252.1013840335,-1.0,-1.0,328.7922459343,281.9304443933,308.10314745,243.0421419303,305.6815542904,254.2870270908,301.3351050289,282.8742448045
ABGNAUZX/ABGNAUZX_f000044.jpg,331.52,78.9099526066,-1.0,-1.0,340.48,104.0758293839,385.28,101.5165746607,-1.0,-1.0,353.28,109.1943127962,385.7066666667,102.7962345648,-1.0,-1.0,316.5866666667,142.4644549763,-1.0,-1.0,300.3733333333,194.5023696682,-1.0,-1.0,183.4666666667,252.5118483412,244.9066666667,161.2322535221,273.9199739583,258.9099526066,267.0933333333,255.0710900474,265.3866666667,267.8672985782,254.2933333333,270.4265402844,276.48,292.6066350711,285.8666666667,318.1990521327,224.4266666667,200.9004478997,207.7866666667,227.3459975979,167.2533333333,293.4597156398
ABQCVPLS/ABQCVPLS_f000003.jpg,270.2843864022,184.995130204,-1.0,-1.0,272.4274889547,190.7438016528,295.6567669709,201.0116509243,-1.0,-1.0,276.0291086003,192.9502912363,295.7457729354,201.625476078,-1.0,-1.0,238.2929751443,238.6808982416,-1.0,-1.0,218.9513015789,265.2994679515,-1.0,-1.0,183.9387190664,279.0491305469,211.3054323838,236.4609362139,227.9503948892,275.0413223142,214.1247182566,273.3527193819,224.6431254694,302.8012909854,204.6209570994,301.1126880535,-1.0,-1.0,-1.0,-1.0,197.1539095325,251.8056569708,190.8027019466,260.565524807,181.5161716017,279.0299700908
ABUHYUFF/ABUHYUFF_f000009.jpg,339.8161485755,125.8295426441,-1.0,-1.0,-1.0,-1.0,345.0662186936,178.8470794323,354.2966974668,167.1215918402,-1.0,-1.0,-1.0,-1.0,421.9029498157,105.5355896497,-1.0,-1.0,436.4925384025,137.6882387489,-1.0,-1.0,514.3153570861,185.5982397009,-1.0,-1.0,445.4222150965,72.3359979048,436.7451145379,212.7453250533,387.5143453072,209.4626502815,434.5570803497,240.7294832828,387.6160006981,238.9221387538,427.6632957967,276.838905775,392.5198427274,276.1403710826,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ACYXOMME/ACYXOMME_f000090.jpg,440.6057144723,116.8004989667,433.7320930793,122.0671240528,-1.0,-1.0,402.6860138522,132.0737117162,427.9658142656,129.177067919,-1.0,-1.0,402.4226825978,132.8637054791,465.1630430748,210.3168508629,-1.0,-1.0,479.4369483689,247.9529680015,-1.0,-1.0,527.5590372382,291.6051821014,-1.0,-1.0,500.9085717082,226.2995634042,484.8588695861,280.7951050006,463.2792111235,277.857948032,487.2153464845,319.5655647822,467.2021711571,315.6155959676,-1.0,-1.0,-1.0,-1.0,522.6104622286,246.5556488686,533.8480009014,286.4053951391,527.0323834458,328.8294196913
ACYXOMME/ACYXOMME_f000091.jpg,440.6057144723,116.8004989667,433.7320930793,122.0671240528,-1.0,-1.0,402.6860138522,132.0737117162,427.9658142656,129.177067919,-1.0,-1.0,402.4226825978,132.8637054791,465.1630430748,210.3168508629,-1.0,-1.0,479.4369483689,247.9529680015,-1.0,-1.0,527.5590372382,291.6051821014,-1.0,-1.0,500.9085717082,226.2995634042,484.8588695861,280.7951050006,463.2792111235,277.857948032,487.2153464845,319.5655647822,467.2021711571,315.6155959676,-1.0,-1.0,-1.0,-1.0,522.6104622286,246.5556488686,533.8480009014,286.4053951391,527.0323834458,328.8294196913
ACYXOMME/ACYXOMME_f000092.jpg,440.6057144723,116.8004989667,433.7320930793,122.0671240528,-1.0,-1.0,402.6860138522,132.0737117162,427.9658142656,129.177067919,-1.0,-1.0,402.4226825978,132.8637054791,465.1630430748,210.3168508629,-1.0,-1.0,479.4369483689,247.9529680015,-1.0,-1.0,527.5590372382,291.6051821014,-1.0,-1.0,500.9085717082,226.2995634042,484.8588695861,280.7951050006,463.2792111235,277.857948032,487.2153464845,319.5655647822,467.2021711571,315.6155959676,-1.0,-1.0,-1.0,-1.0,521.6104622286,241.5556488686,534.8480009014,283.4053951391,527.0323834458,328.8294196913
ACZZJXQW/ACZZJXQW_f000287.jpg,311.893359375,95.1184834123,312.32,103.2227488152,-1.0,-1.0,290.1333316667,85.3080552681,302.5066666667,102.7962085308,-1.0,-1.0,291.2426559167,86.7014074103,337.92,138.625618451,285.8666666667,145.8767772512,365.2266666667,186.3981302994,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,320.8533333333,195.355450237,-1.0,-1.0,294.4,260.6161137441,-1.0,-1.0,300.3733333333,274.691943128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
