image_directory,part0_x,part0_y,part1_x,part1_y,part2_x,part2_y,part3_x,part3_y,part4_x,part4_y,part5_x,part5_y,part6_x,part6_y,part7_x,part7_y,part8_x,part8_y,part9_x,part9_y,part10_x,part10_y,part11_x,part11_y,part12_x,part12_y,part13_x,part13_y,part14_x,part14_y,part15_x,part15_y,part16_x,part16_y,part17_x,part17_y,part18_x,part18_y,part19_x,part19_y,part20_x,part20_y,part21_x,part21_y,part22_x,part22_y
AAOYRUDX/AAOYRUDX_f000026.jpg,220.9914529915,135.6838905775,238.4957264957,151.0030395137,199.1111111111,153.1914893617,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260.3760683761,154.2857142857,-1.0,-1.0,250.5299145299,195.8662613982,-1.0,-1.0,251.6239316239,269.179331307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AAOYRUDX/AAOYRUDX_f000027.jpg,220.9914529915,135.6838905775,238.4957264957,151.0030395137,199.1111111111,153.1914893617,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260.3760683761,154.2857142857,-1.0,-1.0,250.5299145299,195.8662613982,-1.0,-1.0,251.6239316239,269.179331307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AAOYRUDX/AAOYRUDX_f000028.jpg,220.9914529915,135.6838905775,238.4957264957,151.0030395137,199.1111111111,153.1914893617,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260.3760683761,154.2857142857,-1.0,-1.0,250.5299145299,195.8662613982,-1.0,-1.0,251.6239316239,269.179331307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ACIZEENW/ACIZEENW_f000037.jpg,436.0533333333,159.5260663507,-1.0,-1.0,401.493359375,196.6350965071,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,275.6266666667,40.9478803156,-1.0,-1.0,195.4133333333,353.1753554502,-1.0,-1.0,-1.0,-1.0,311.4666927083,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,271.36,307.9620853081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AEIANJQK/AEIANJQK_f000043.jpg,309.76,145.8767772512,318.2933333333,185.1184834123,279.8933333333,188.5308056872,293.5466666667,229.4786729858,-1.0,-1.0,-1.0,-1.0,293.12,231.1848601572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AERATXGD/AERATXGD_f000012.jpg,374.5143765792,67.9003558719,388.6230722314,105.0533807829,348.8622026662,101.8042704626,339.625382014,185.3267133509,361.3083983184,167.4472506027,-1.0,-1.0,340.9079907097,189.5805303639,444.228507014,175.935483871,424.731632014,175.2258064516,489.366007014,337.6129032258,322.584757014,309.6774193548,-1.0,-1.0,272.250382014,347.0967741935,468.753507014,157.0,488.528507014,151.6129032258,477.262882014,148.2580645161,523.341007014,335.4193548387,415.312882014,331.5806451613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AERATXGD/AERATXGD_f000013.jpg,374.5143765792,67.9003558719,388.6230722314,105.0533807829,348.8622026662,101.8042704626,339.625382014,185.3267133509,365.3083983184,170.4472506027,324.3233439705,164.4380668121,340.9079907097,189.5805303639,444.228507014,175.935483871,424.731632014,175.2258064516,489.366007014,337.6129032258,322.584757014,309.6774193548,-1.0,-1.0,272.250382014,347.0967741935,468.753507014,157.0,488.528507014,151.6129032258,477.262882014,148.2580645161,517.341007014,335.4193548387,415.312882014,331.5806451613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AERATXGD/AERATXGD_f000014.jpg,374.5143765792,67.9003558719,388.6230722314,105.0533807829,348.8622026662,94.8042704626,338.625382014,174.3267133509,328.3083983184,184.4472506027,355.3233439705,184.4380668121,339.9079907097,193.5805303639,444.228507014,175.935483871,424.731632014,175.2258064516,490.366007014,331.6129032258,322.584757014,309.6774193548,-1.0,-1.0,272.250382014,347.0967741935,465.5795939705,166.5480427046,485.528507014,163.6129032258,463.262882014,152.2580645161,521.341007014,277.4193548387,401.312882014,322.5806451613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AERATXGD/AERATXGD_f000015.jpg,376.5143765792,68.9003558719,388.6230722314,105.0533807829,349.8622026662,101.8042704626,340.625382014,182.3267133509,365.3083983184,162.4472506027,327.3233439705,156.4380668121,341.9079907097,185.5805303639,444.228507014,175.935483871,424.731632014,175.2258064516,486.366007014,343.6129032258,322.584757014,309.6774193548,-1.0,-1.0,272.250382014,347.0967741935,457.5795939705,160.5480427046,478.528507014,156.6129032258,463.262882014,152.2580645161,510.341007014,283.4193548387,397.312882014,333.5806451613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AERATXGD/AERATXGD_f000016.jpg,358.5143765792,77.9003558719,379.6230722314,104.0533807829,339.8622026662,99.8042704626,332.625382014,178.3267133509,358.3083983184,162.4472506027,316.3233439705,161.4380668121,332.9079907097,183.5805303639,444.228507014,175.935483871,424.731632014,175.2258064516,486.366007014,343.6129032258,310.584757014,308.6774193548,-1.0,-1.0,272.250382014,347.0967741935,457.5795939705,160.5480427046,478.528507014,156.6129032258,463.262882014,152.2580645161,510.341007014,283.4193548387,388.312882014,329.5806451613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AERATXGD/AERATXGD_f000017.jpg,361.5143765792,69.9003559567,373.6230722314,105.0533807829,335.8622026662,99.8042702931,326.625382014,176.3267128423,355.3083983184,161.4472505179,310.3233439705,156.4380668121,326.9079907097,181.5805300248,436.228507014,164.935483871,410.731632014,162.2258064516,486.366007014,343.6129032258,310.584757014,306.6774193548,-1.0,-1.0,261.250382014,342.0967741935,448.5795939705,153.5480427046,468.528507014,148.6129032258,458.262882014,144.2580645161,492.341007014,283.4193548387,391.312882014,328.5806451613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AGYCDUUF/AGYCDUUF_f000036.jpg,437.76,122.8436018957,-1.0,-1.0,447.1466666667,140.7582938389,479.1182292037,174.028436019,465.92,168.0568720379,-1.0,-1.0,476.7289060648,176.1327088906,-1.0,-1.0,373.8168488843,172.7203860605,353.28,296.8720379147,371.1999977083,282.3696647917,-1.0,-1.0,-1.0,-1.0,310.1013282361,160.0378937661,-1.0,-1.0,237.2266661111,159.1848397248,-1.0,-1.0,244.0533341667,262.7488138087,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AGYCDUUF/AGYCDUUF_f000037.jpg,437.76,122.8436018957,-1.0,-1.0,447.1466666667,140.7582938389,479.1182292037,174.028436019,465.92,168.0568720379,-1.0,-1.0,476.7289060648,176.1327088906,-1.0,-1.0,373.8168488843,172.7203860605,350.0942190093,294.5971652406,375.2960390417,282.3696647917,-1.0,-1.0,-1.0,-1.0,310.1013282361,160.0378937661,-1.0,-1.0,237.2266661111,157.3648843109,-1.0,-1.0,244.0533341667,262.7488138087,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AHSAPCNX/AHSAPCNX_f000080.jpg,288.0847826087,111.6995990512,290.5866043235,130.6486381759,-1.0,-1.0,288.0847826087,158.5735379387,300.0891547243,149.5976773007,-1.0,-1.0,295.5902477532,161.0668325604,348.1234029633,63.8176137096,348.6288986477,54.3538531883,355.1306898227,136.6700953865,344.1248603352,132.6647615196,347.6266515102,165.5333361045,340.1226742774,161.5654914847,395.1627520039,57.8444352229,444.2028297304,62.8256601636,443.6915350984,56.3484584499,449.2021010444,121.6727775379,428.1867986398,118.6808239918,468.2152173913,149.5493985767,435.1889846976,150.5574450307,464.2130313335,69.812249407,466.2144887054,104.7183741105,466.2144887054,130.1500096873
AHSAPCNX/AHSAPCNX_f000081.jpg,288.0,112.0,290.5,131.0,-1.0,-1.0,288.0,159.0,294.0,150.0,-1.0,-1.0,295.5,161.5,346.0,64.0,348.5000305176,54.5000305176,351.0,123.0,343.0,125.0000305176,345.4999694824,174.0000305176,340.0,162.0,395.0,58.0,450.0,65.0,450.5,59.5,449.0,122.0,428.0,119.0,467.0,168.0,431.0,165.0,464.0,70.0,466.0,105.0,466.0,130.5000305176
AHSAPCNX/AHSAPCNX_f000082.jpg,288.0847826087,111.6995990512,290.5866043235,130.6486381759,-1.0,-1.0,288.0847826087,158.5735379387,300.0891547243,146.5976773007,-1.0,-1.0,295.5902477532,161.0668325604,350.1234029633,64.8176137096,348.6288986477,54.3538531883,353.1306898227,134.6700953865,344.1248603352,133.6647615196,349.6266515102,164.5333361045,340.1226742774,161.5654914847,395.1627520039,57.8444352229,444.2028297304,64.8256601636,444.6915350984,57.3484584499,449.2021010444,121.6727775379,428.1867986398,118.6808239918,469.2152173913,152.5493985767,434.1889846976,152.5574450307,464.2130313335,69.812249407,466.2144887054,104.7183741105,466.2144887054,130.1500096873
AHSAPCNX/AHSAPCNX_f000083.jpg,288.0847826087,111.6995990512,290.5866043235,130.6486381759,-1.0,-1.0,288.0847826087,158.5735379387,300.0891547243,146.5976773007,-1.0,-1.0,295.5902477532,161.0668325604,350.1234029633,64.8176137096,348.6288986477,54.3538531883,353.1306898227,134.6700953865,344.1248603352,133.6647615196,349.6266515102,164.5333361045,340.1226742774,161.5654914847,395.1627520039,57.8444352229,444.2028297304,64.8256601636,445.6915350984,56.3484584499,449.2021010444,121.6727775379,428.1867986398,118.6808239918,469.2152173913,152.5493985767,434.1889846976,152.5574450307,464.2130313335,69.812249407,466.2144887054,104.7183741105,466.2144887054,130.1500096873
