image_directory,part0_x,part0_y,part1_x,part1_y,part2_x,part2_y,part3_x,part3_y,part4_x,part4_y,part5_x,part5_y,part6_x,part6_y,part7_x,part7_y,part8_x,part8_y,part9_x,part9_y,part10_x,part10_y,part11_x,part11_y,part12_x,part12_y,part13_x,part13_y,part14_x,part14_y,part15_x,part15_y,part16_x,part16_y,part17_x,part17_y,part18_x,part18_y,part19_x,part19_y,part20_x,part20_y,part21_x,part21_y,part22_x,part22_y
ADUAVFNJ/ADUAVFNJ_f000020.jpg,236.0,125.0,-1.0,-1.0,274.0,120.0,393.6239316239,117.811550152,234.0,153.0,-1.0,-1.0,395.5299145299,121.905775076,-1.0,-1.0,130.0,250.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000021.jpg,236.0,125.0,-1.0,-1.0,274.0,120.0,393.6239316239,117.811550152,234.0,153.0,-1.0,-1.0,395.5299145299,121.905775076,-1.0,-1.0,130.0,250.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000022.jpg,249.0,123.0,-1.0,-1.0,283.0,120.0,405.6239316239,118.811550152,235.0,160.0,-1.0,-1.0,406.5299145299,123.905775076,-1.0,-1.0,130.0,250.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000023.jpg,245.0,124.0,-1.0,-1.0,296.0,124.0,421.0,119.0,286.0,153.0,-1.0,-1.0,419.905982906,125.188449848,-1.0,-1.0,123.0,229.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000024.jpg,278.0,130.0,-1.0,-1.0,305.0,124.0,426.0,120.0,-1.0,-1.0,297.0,161.0,426.905982906,125.188449848,-1.0,-1.0,123.0,229.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000025.jpg,278.0,130.0,-1.0,-1.0,315.0,128.0,434.6239316239,122.811550152,297.0,161.0,-1.0,-1.0,436.5299145299,129.905775076,-1.0,-1.0,123.0,229.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000026.jpg,278.0,130.0,-1.0,-1.0,315.0,128.0,439.0,125.0,297.0,161.0,-1.0,-1.0,440.905982906,133.188449848,-1.0,-1.0,123.0,229.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000028.jpg,278.0,130.0,-1.0,-1.0,315.0,128.0,439.0,125.0,297.0,161.0,-1.0,-1.0,442.0,131.0,-1.0,-1.0,123.0,229.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000029.jpg,278.0,130.0,-1.0,-1.0,315.0,128.0,439.0,125.0,297.0,161.0,-1.0,-1.0,442.0,131.0,-1.0,-1.0,123.0,229.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ADUAVFNJ/ADUAVFNJ_f000030.jpg,278.0,130.0,-1.0,-1.0,315.0,128.0,439.0,125.0,297.0,161.0,-1.0,-1.0,442.0,131.0,-1.0,-1.0,123.0,229.0,-1.0,-1.0,63.0,229.0,-1.0,-1.0,11.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
