AAACXZTV,"2,40"
AABCQPTK,"2,15"
AABKMGHE,78
AACJGIQR,"102,1,39,8,120,97"
AACKOHGA,"2,68,133,116"
AACXOPTK,"2,68,102,15"
AADBUVKA,"2,133,102,15"
AADGMXRE,"2,68,102"
AADMQVEI,"68,123,102"
AADQRMVW,"58,104,102,2,128,10,118,68,78"
AAFWRPDI,123
AAGIUVEI,"40,133,52,90"
AAGLKRME,1
AAGOCDAL,"68,1"
AAIHFPKK,"38,104,67,68,133"
AAIQZYMI,52
AAITVVEI,"114,104,40,90"
AAJNFNXN,123
AAJPLFXO,"104,48,102,135"
AAKLZWUH,"114,90"
AAKRUPTK,"2,15"
AALMTJBD,102
AAMPDDSN,52
AAMTKWMK,68
AAMXFEOD,"69,133"
AANITSEB,"2,15"
AANKBEOD,2
AANKCVEI,"104,102,135,90,2,128,15,68,40,133"
AANVVUPH,102
AANYAVEI,90
AAOAJKBS,100
AAOYRUDX,133
AAOZGQFB,"68,78,65"
AAPREPTK,"68,102,15"
AAQAJFNJ,133
AAQPAHFB,102
AARMFPTK,"102,90,2,15,68"
AARQKGQD,78
AASDYJTR,15
AASSQKOU,"105,102,110,133,69,15,40,67"
AATJYYTZ,"104,90,135"
AATNWZAA,"123,102"
AAUQSVYU,133
AAUUFAMC,"139,74"
AAUVWMRN,"104,48,102,90,2,40,133"
AAVNEICC,2
AAVXGHCU,102
AAWJEBGU,"52,78"
AAWXPNQN,15
AAXNMDCC,"68,102"
AAXVMCGB,68
AAYCBRHB,15
ABAHPDXI,"58,76"
ABAJFAMC,"108,133,106,65"
ABATBLHH,68
ABAVGVTI,"2,48,104"
ABBOLTFT,"38,26,102,90,133,27"
ABBTRZQJ,"41,1,51"
ABCSJZQJ,68
ABDGUIFB,"58,68,40"
ABDNTBQT,"40,78"
ABEQANQN,2
ABFHKIQR,"133,102,39"
ABFLNBQT,2
ABFNIQRD,78
ABGHPMGJ,68
ABHPPSOB,68
ABJYRLSQ,40
ABKBWVMW,68
ABKSHVEI,2
ABMEWKRF,"68,102"
ABMISWMK,78
ABNEANQN,"68,15"
ABNMGXGD,40
ABNUJKRV,"2,40"
ABNXQJVY,102
ABPGSMVW,"58,104,102,2,10,118,68,78"
ABPLMUPH,"102,28,67"
ABPUQFGA,45
ABQCVPLS,"68,133,102,100"
ABQPRVEI,"68,33"
ABSIZKBS,"100,67"
ABSJHPKK,"68,102,90"
ABTJZVEI,"2,40,133,104"
ABUMVDAL,"104,123,102,2,5,32,13"
ABXWIZLK,90
ABYRPKOU,"2,68,102,15"
ABZCCTLI,78
ABZRXVEI,"48,102,2,67,133"
ACBAMGHA,"2,133,15"
ACBCHFYS,25
ACCDCQWI,2
ACCPNSBA,"26,102,135,69,1"
ACCYACJH,"40,7,78"
ACESDPTK,"22,2,68,15"
ACFBCJIR,102
ACFCJUPH,123
ACGRJOOZ,"68,138"
ACHCJNPL,25
ACIOCKOU,"105,102,110,133,15,40,67,13"
ACIOMPKK,38
ACJGHCDA,2
ACMFAXMC,"80,102"
ACNCOKRF,68
ACNTCVEI,"104,48,49,2,103,133"
ACPRKUJL,123
ACQEHFPE,68
ACQFUVKA,"2,133,100"
ACQKWWWK,123
ACQNBEOD,"2,102,15"
ACSJHYUQ,102
ACSJZTFT,"38,26,102,90,133,27"
ACTCTBXG,"104,32"
ACTNXSOM,"48,52,101"
ACTUPDUC,"40,7"
ACUXTFPE,"1,78"
ACWVRHDU,"13,67"
ACYHKFNJ,16
ACYXOMME,68
ACZHYBOE,"102,15"
ACZJMJIR,15
ADAACXGD,100
ADAMJVEI,"40,102"
