video_directory,start_time,end_time,caption
AABGBPZC.mp4,11.9,14.7,The bordered mantis is being eaten by another mantis.
AABGBPZC.mp4,11.9,14.7,The bordered mantis is eating.
AABGBPZC.mp4,14.8,20.9,The bordered mantis is keeping still.
AABGBPZC.mp4,4.7,10.8,The bordered mantis is moving.
AABGBPZC.mp4,4.7,7.8,The bordered mantis is sensing its environment.
AABGBPZC.mp4,7.8,10.8,The bordered mantis is flapping its wings.
AADJBFXO.mp4,2.1,6.0,The tit bird is chirping.
AADJBFXO.mp4,6.0,7.6,The tit bird is keeping still.
AADJBFXO.mp4,7.8,10.0,The tit bird is sensing its environment.
AALAJYTZ.mp4,1.0,7.5,The greylag goose is chirping.
AALAJYTZ.mp4,3.0,8.5,The bird is walking.
AALAJYTZ.mp4,7.5,8.5,The greylag goose is shaking its head.
AALBUFPE.mp4,8.9,14.0,The walking stick is keeping still.
AAUITRAC.mp4,17.8,21.8,The jaguarundi cat is walking.
AAUITRAC.mp4,18.8,19.8,The jaguarundi cat is sensing its environment.
AAUITRAC.mp4,22.7,32.1,The nine banded armadillo is walking.
AAUITRAC.mp4,42.3,47.9,The white nosed coati is walking.
AAUITRAC.mp4,48.1,48.6,The agouti is keeping still.
AAUITRAC.mp4,48.6,49.3,The agouti is moving.
AAUITRAC.mp4,49.3,50.8,The agouti is walking.
AAUITRAC.mp4,50.8,52.7,The agouti is attending.
ABGFKGHE.mp4,17.7,23.2,The skink is keeping still.
ABGFKGHE.mp4,30.5,34.9,The snake is keeping still.
ABGFKGHE.mp4,9.6,15.6,The snake is moving.
ABGNSWUH.mp4,5.2,5.8,The bird is attending.
ABGNSWUH.mp4,5.2,5.8,The bird is flying.
ABGNSWUH.mp4,5.2,8.3,The bird is eating.
ABGNSWUH.mp4,5.9,8.3,The bird is sensing its environment.
ABKSUXQD.mp4,27.3,30.6,The gecarcinus lateralis crab is moving.
ACHMBMCV.mp4,0.0,2.9,The brown garden snail is performing sexual exploration.
ACHMBMCV.mp4,0.0,2.9,The brown garden snail is sensing its environment.
ACOSBKEW.mp4,57.4,62.6,The giraffe is walking.
ACOSBKEW.mp4,69.3,71.4,The giraffe is eating.
ACOSBKEW.mp4,76.3,77.4,The giraffe is drinking.
ACOSBKEW.mp4,77.4,79.9,The giraffe is standing.
ADDPTYUQ.mp4,19.6,24.9,The polyergus mexicanus is sensing its environment.
ADDPTYUQ.mp4,21.4,24.9,The polyergus mexicanus is moving.
