2023-04-24 16:20:27,443 INFO    MainThread:2395744 [wandb_setup.py:_flush():76] Configure stats pid to 2395744
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_setup.py:_flush():76] Loading settings from /home/jonathan/.config/wandb/settings
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_setup.py:_flush():76] Loading settings from /home/jonathan/Downloads/Research/wandb/settings
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/jonathan/Downloads/Research/main.py'}
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_init.py:_log_setup():507] Logging user logs to /home/jonathan/Downloads/Research/wandb/run-20230424_162027-ypt4ndcl/logs/debug.log
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_init.py:_log_setup():508] Logging internal logs to /home/jonathan/Downloads/Research/wandb/run-20230424_162027-ypt4ndcl/logs/debug-internal.log
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_init.py:init():547] calling init triggers
2023-04-24 16:20:27,444 INFO    MainThread:2395744 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'architecture': 'Beijing', 'dataset': 'CIFAR10', 'epochs': 3, 'optimizer': 'SGD', 'loss_fn': 'CrossEntropyLoss', 'blocks': 3, 'activation': 'leaky_relu'}
2023-04-24 16:20:27,445 INFO    MainThread:2395744 [wandb_init.py:init():595] starting backend
2023-04-24 16:20:27,445 INFO    MainThread:2395744 [wandb_init.py:init():599] setting up manager
2023-04-24 16:20:27,446 INFO    MainThread:2395744 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-24 16:20:27,449 INFO    MainThread:2395744 [wandb_init.py:init():605] backend started and connected
2023-04-24 16:20:27,451 INFO    MainThread:2395744 [wandb_init.py:init():695] updated telemetry
2023-04-24 16:20:27,452 INFO    MainThread:2395744 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-24 16:20:37,838 INFO    MainThread:2395744 [wandb_run.py:_on_init():2176] communicating current version
2023-04-24 16:20:37,906 INFO    MainThread:2395744 [wandb_run.py:_on_init():2185] got version response 
2023-04-24 16:20:37,906 INFO    MainThread:2395744 [wandb_init.py:init():782] starting run threads in backend
2023-04-24 16:20:41,720 INFO    MainThread:2395744 [wandb_run.py:_console_start():2157] atexit reg
2023-04-24 16:20:41,721 INFO    MainThread:2395744 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-24 16:20:41,721 INFO    MainThread:2395744 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-24 16:20:41,721 INFO    MainThread:2395744 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-24 16:20:41,722 INFO    MainThread:2395744 [wandb_init.py:init():824] run started, returning control to user process
