2023-04-24 18:06:31,371 INFO    MainThread:2397953 [wandb_setup.py:_flush():76] Configure stats pid to 2397953
2023-04-24 18:06:31,372 INFO    MainThread:2397953 [wandb_setup.py:_flush():76] Loading settings from /home/jonathan/.config/wandb/settings
2023-04-24 18:06:31,372 INFO    MainThread:2397953 [wandb_setup.py:_flush():76] Loading settings from /home/jonathan/Downloads/Research/wandb/settings
2023-04-24 18:06:31,372 INFO    MainThread:2397953 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-24 18:06:31,372 INFO    MainThread:2397953 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-24 18:06:31,372 INFO    MainThread:2397953 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/jonathan/Downloads/Research/main.py'}
2023-04-24 18:06:31,372 INFO    MainThread:2397953 [wandb_init.py:_log_setup():507] Logging user logs to /home/jonathan/Downloads/Research/wandb/run-20230424_180631-b4iyxitq/logs/debug.log
2023-04-24 18:06:31,372 INFO    MainThread:2397953 [wandb_init.py:_log_setup():508] Logging internal logs to /home/jonathan/Downloads/Research/wandb/run-20230424_180631-b4iyxitq/logs/debug-internal.log
2023-04-24 18:06:31,373 INFO    MainThread:2397953 [wandb_init.py:init():547] calling init triggers
2023-04-24 18:06:31,373 INFO    MainThread:2397953 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'architecture': 'Beijing', 'dataset': 'CIFAR10', 'epochs': 200, 'optimizer': 'Adam', 'loss_fn': 'CrossEntropyLoss', 'blocks': 3, 'activation': 'tanh'}
2023-04-24 18:06:31,373 INFO    MainThread:2397953 [wandb_init.py:init():595] starting backend
2023-04-24 18:06:31,373 INFO    MainThread:2397953 [wandb_init.py:init():599] setting up manager
2023-04-24 18:06:31,376 INFO    MainThread:2397953 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-24 18:06:31,378 INFO    MainThread:2397953 [wandb_init.py:init():605] backend started and connected
2023-04-24 18:06:31,380 INFO    MainThread:2397953 [wandb_init.py:init():695] updated telemetry
2023-04-24 18:06:31,380 INFO    MainThread:2397953 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-24 18:06:31,604 INFO    MainThread:2397953 [wandb_run.py:_on_init():2176] communicating current version
2023-04-24 18:06:31,662 INFO    MainThread:2397953 [wandb_run.py:_on_init():2185] got version response 
2023-04-24 18:06:31,663 INFO    MainThread:2397953 [wandb_init.py:init():782] starting run threads in backend
2023-04-24 18:06:35,090 INFO    MainThread:2397953 [wandb_run.py:_console_start():2157] atexit reg
2023-04-24 18:06:35,090 INFO    MainThread:2397953 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-24 18:06:35,090 INFO    MainThread:2397953 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-24 18:06:35,090 INFO    MainThread:2397953 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-24 18:06:35,091 INFO    MainThread:2397953 [wandb_init.py:init():824] run started, returning control to user process
2023-04-24 18:41:05,214 INFO    MainThread:2397953 [wandb_run.py:_finish():1892] finishing run jonathanlin/Perona_Research/b4iyxitq
2023-04-24 18:41:05,218 INFO    MainThread:2397953 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-24 18:41:05,218 INFO    MainThread:2397953 [wandb_run.py:_restore():2109] restore
2023-04-24 18:41:05,218 INFO    MainThread:2397953 [wandb_run.py:_restore():2115] restore done
2023-04-24 18:41:11,789 INFO    MainThread:2397953 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-24 18:41:11,789 INFO    MainThread:2397953 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-24 18:41:11,792 INFO    MainThread:2397953 [wandb_run.py:_footer_sync_info():3434] logging synced files
